###################
##### mapping #####
###################
# touhou tier1 = vanilla tier 9
# touhou tier2 = vanilla tier 10
# touhou tier3 = vanilla tier 11
# touhou tier4 = vanilla tier 12
###################
#### hardening ####
###################
@touhou_defensive_comp_hardening_lvl_1 = 0.09
@touhou_defensive_comp_hardening_lvl_2 = 0.12
@touhou_defensive_comp_hardening_lvl_3 = 0.15
@touhou_defensive_comp_hardening_lvl_4 = 0.18
@touhou_defensive_comp_hardening_lvl_5 = 0.24

# common
# vanilla -> tier1 = 1.25 * 1.25 * 3600 = 5625
# tier1 -> tier2 = 1.25 * 5625 = 7031.25 -> 7020
# L = 2M, M = 2S
@touhou_shield_component_lvl_1_s = 1406.25
@touhou_shield_component_lvl_2_s = 1755
@touhou_shield_component_regen_lvl_1_s = 35.16
@touhou_shield_component_regen_lvl_2_s = 43.88
@touhou_shield_component_regen_armor_lvl_1_s = 28.13
@touhou_shield_component_regen_armor_lvl_2_s = 35.1

@touhou_shield_component_lvl_1_m = 2812.5
@touhou_shield_component_lvl_2_m = 3510
@touhou_shield_component_regen_lvl_1_m = 70.31
@touhou_shield_component_regen_lvl_2_m = 87.64
@touhou_shield_component_regen_armor_lvl_1_m = 56.25
@touhou_shield_component_regen_armor_lvl_2_m = 70.2

@touhou_shield_component_lvl_1_l = 5625
@touhou_shield_component_lvl_2_l = 7020
@touhou_shield_component_regen_lvl_1_l = 140.63
@touhou_shield_component_regen_lvl_2_l = 175.5
@touhou_shield_component_regen_armor_lvl_1_l = 112.5
@touhou_shield_component_regen_armor_lvl_2_l = 140.4

# vanilla -> tier1 = 1.25 * 1.25 * 3600 = 5625
# tier1 -> tier2 = 1.25 * 5625 = 7031.25 -> 7020
# L = 2M, M = 2S
@touhou_armor_component_lvl_1_s = 1406.25
@touhou_armor_component_lvl_2_s = 1755
@touhou_armor_component_hull_add_lvl_1_s = 240
@touhou_armor_component_hull_add_lvl_2_s = 300
@touhou_armor_component_regen_lvl_1_s = 35.16
@touhou_armor_component_regen_lvl_2_s = 43.88
@touhou_armor_component_hull_regen_lvl_1_s = 6.0
@touhou_armor_component_hull_regen_lvl_2_s = 7.5

@touhou_armor_component_lvl_1_m = 2812.5
@touhou_armor_component_lvl_2_m = 3510
@touhou_armor_component_hull_add_lvl_1_m = 720
@touhou_armor_component_hull_add_lvl_2_m = 960
@touhou_armor_component_regen_lvl_1_m = 70.31
@touhou_armor_component_regen_lvl_2_m = 87.64
@touhou_armor_component_hull_regen_lvl_1_m = 18
@touhou_armor_component_hull_regen_lvl_2_m = 24

@touhou_armor_component_lvl_1_l = 5625
@touhou_armor_component_lvl_2_l = 7020
@touhou_armor_component_hull_add_lvl_1_l = 1600
@touhou_armor_component_hull_add_lvl_2_l = 2000
@touhou_armor_component_regen_lvl_1_l = 140.63
@touhou_armor_component_regen_lvl_2_l = 175.5
@touhou_armor_component_hull_regen_lvl_1_l = 40
@touhou_armor_component_hull_regen_lvl_2_l = 50

#################
#### psionic ####
#################
@touhou_psionic_defensive_comp_shield_reduction_s = -0.02
@touhou_psionic_defensive_comp_shield_reduction_m = -0.02
@touhou_psionic_defensive_comp_shield_reduction_l = -0.02

# tier2 -> tier3 = 1.25 * 7031.25 = 8789.0625 -> 8780
# L = 2M, M = 2S
@touhou_psionic_shield_lvl_1_s_ship_shield_add = 2195
@touhou_psionic_shield_lvl_1_s_ship_shield_regen_add = 54.87
@touhou_psionic_shield_lvl_1_m_ship_shield_add = 4390
@touhou_psionic_shield_lvl_1_m_ship_shield_regen_add = 62.45
@touhou_psionic_shield_lvl_1_l_ship_shield_add = 8780
@touhou_psionic_shield_lvl_1_l_ship_shield_regen_add = 219.5

# tier2 -> tier3 = 1.25 * 7031.25 = 8789.0625 -> 8780
# L = 2M, M = 2S
@touhou_psionic_armor_lvl_1_s_ship_armor_add = 2195
@touhou_psionic_armor_lvl_1_s_ship_armor_regen_add = 54.87
@touhou_psionic_armor_lvl_1_m_ship_armor_add = 4390
@touhou_psionic_armor_lvl_1_m_ship_armor_regen_add = 62.45
@touhou_psionic_armor_lvl_1_l_ship_armor_add = 8780
@touhou_psionic_armor_lvl_1_l_ship_armor_regen_add = 219.5
@touhou_psionic_armor_lvl_1_s_ship_hull_add = 330
@touhou_psionic_armor_lvl_1_s_ship_hull_regen_add = 11
@touhou_psionic_armor_lvl_1_m_ship_hull_add = 969.6
@touhou_psionic_armor_lvl_1_m_ship_hull_regen_add = 24.24
@touhou_psionic_armor_lvl_1_l_ship_hull_add = 2200
@touhou_psionic_armor_lvl_1_l_ship_hull_regen_add = 55

# tier3 -> tier4 = 1.25 * 8789.0625 = 10986.3281 = 10980
# L = 2M, M = 2S
@touhou_psionic_shield_lvl_2_s_ship_shield_add = 5490
@touhou_psionic_shield_lvl_2_m_ship_shield_add = 10980
@touhou_psionic_shield_lvl_2_l_ship_shield_add = 21960
@touhou_psionic_shield_lvl_2_s_ship_armor_add = 1830
@touhou_psionic_shield_lvl_2_m_ship_armor_add = 3660
@touhou_psionic_shield_lvl_2_l_ship_armor_add = 7320
@touhou_psionic_shield_lvl_2_s_ship_shield_regen_add = 137.25
@touhou_psionic_shield_lvl_2_m_ship_shield_regen_add = 274.5
@touhou_psionic_shield_lvl_2_l_ship_shield_regen_add = 549
@touhou_psionic_shield_lvl_2_s_ship_armor_regen_add = 45.75
@touhou_psionic_shield_lvl_2_m_ship_armor_regen_add = 91.5
@touhou_psionic_shield_lvl_2_l_ship_armor_regen_add = 183

@touhou_psionic_armor_lvl_2_s_ship_hull_add = 975
@touhou_psionic_armor_lvl_2_m_ship_hull_add = 1950
@touhou_psionic_armor_lvl_2_l_ship_hull_add = 3900
@touhou_psionic_armor_lvl_2_s_ship_armor_add = 3660
@touhou_psionic_armor_lvl_2_m_ship_armor_add = 7320
@touhou_psionic_armor_lvl_2_l_ship_armor_add = 14640
@touhou_psionic_armor_lvl_2_s_ship_hull_regen_add = 32.5
@touhou_psionic_armor_lvl_2_m_ship_hull_regen_add = 65
@touhou_psionic_armor_lvl_2_l_ship_hull_regen_add = 130
@touhou_psionic_armor_lvl_2_s_ship_armor_regen_add = 91.5
@touhou_psionic_armor_lvl_2_m_ship_armor_regen_add = 183
@touhou_psionic_armor_lvl_2_l_ship_armor_regen_add = 366

#################
##### story #####
#################
# tier2 -> tier3 = 1.25 * 7031.25 = 8789.0625 -> 8780
# L = 2M, M = 2S
@touhou_shield_component_shield_lvl_3_s = 4390
@touhou_shield_component_shield_lvl_3_m = 8780
@touhou_shield_component_shield_lvl_3_l = 17560
@touhou_shield_component_armor_lvl_3_s = 1462.5
@touhou_shield_component_armor_lvl_3_m = 2925
@touhou_shield_component_armor_lvl_3_l = 5850
@touhou_shield_component_shield_regen_lvl_3_s = 109.75
@touhou_shield_component_shield_regen_lvl_3_m = 219.5
@touhou_shield_component_shield_regen_lvl_3_l = 439
@touhou_shield_component_armor_regen_lvl_3_s = 36.51
@touhou_shield_component_armor_regen_lvl_3_m = 73.15
@touhou_shield_component_armor_regen_lvl_3_l = 146.25

@touhou_armor_component_hull_lvl_3_s = 900
@touhou_armor_component_hull_lvl_3_m = 1800
@touhou_armor_component_hull_lvl_3_l = 3600
@touhou_armor_component_armor_lvl_3_s = 2927.5
@touhou_armor_component_armor_lvl_3_m = 5855
@touhou_armor_component_armor_lvl_3_l = 11710
@touhou_armor_component_hull_regen_lvl_3_s = 22.5
@touhou_armor_component_hull_regen_lvl_3_m = 45
@touhou_armor_component_hull_regen_lvl_3_l = 90
@touhou_armor_component_armor_regen_lvl_3_s = 56
@touhou_armor_component_armor_regen_lvl_3_m = 112
@touhou_armor_component_armor_regen_lvl_3_l = 292.75

#################
##### event #####
#################
# tier3 -> tier4 = 1.25 * 8789.0625 = 10986.328125 -> 10980
# L = 2M, M = 2S
@touhou_shield_component_shield_lvl_4_s = 5490
@touhou_shield_component_shield_lvl_4_m = 10980
@touhou_shield_component_shield_lvl_4_l = 21960
@touhou_shield_component_armor_lvl_4_s = 1840
@touhou_shield_component_armor_lvl_4_m = 3660
@touhou_shield_component_armor_lvl_4_l = 7320
@touhou_shield_component_shield_regen_lvl_4_s = 137.25
@touhou_shield_component_shield_regen_lvl_4_m = 274.5
@touhou_shield_component_shield_regen_lvl_4_l = 549
@touhou_shield_component_armor_regen_lvl_4_s = 45.75
@touhou_shield_component_armor_regen_lvl_4_m = 91.5
@touhou_shield_component_armor_regen_lvl_4_l = 183

@touhou_armor_component_hull_lvl_4_s = 1200
@touhou_armor_component_hull_lvl_4_m = 2400
@touhou_armor_component_hull_lvl_4_l = 4800
@touhou_armor_component_armor_lvl_4_s = 3660
@touhou_armor_component_armor_lvl_4_m = 7320
@touhou_armor_component_armor_lvl_4_l = 14640
@touhou_armor_component_hull_regen_lvl_4_s = 30
@touhou_armor_component_hull_regen_lvl_4_m = 60
@touhou_armor_component_hull_regen_lvl_4_l = 120
@touhou_armor_component_armor_regen_lvl_4_s = 91.5
@touhou_armor_component_armor_regen_lvl_4_m = 183
@touhou_armor_component_armor_regen_lvl_4_l = 366

##################
##### crisis #####
##################
@touhou_crisis_def_cmp_hardening_add_lvl_1 = 0.20
@touhou_crisis_def_cmp_hardening_add_lvl_2 = 0.30

@touhou_armor_kamikakushi_ship_armor_add = 4800
@touhou_armor_kamikakushi_ship_armor_regen_add = 160
@touhou_armor_kamikakushi_ship_hull_add = 3000
@touhou_armor_kamikakushi_ship_hull_regen_add = 100

@touhou_shield_kamikakushi_ship_armor_add = 2400
@touhou_shield_kamikakushi_ship_armor_regen_add = 80
@touhou_shield_kamikakushi_ship_shield_add = 7200           # vanilla tier7 * 2
@touhou_shield_kamikakushi_ship_shield_regen_add = 240

@touhou_armor_lunar_capital_ship_armor_add = 1800
@touhou_armor_lunar_capital_ship_armor_regen_add = 60
@touhou_armor_lunar_capital_ship_hull_add = 3600
@touhou_armor_lunar_capital_ship_hull_regen_add = 120

@touhou_shield_lunar_capital_ship_armor_add = 3000
@touhou_shield_lunar_capital_ship_armor_regen_add = 100
@touhou_shield_lunar_capital_ship_shield_add = 9600
@touhou_shield_lunar_capital_ship_shield_regen_add = 320

@touhou_shield_lunar_capital_psi_ship_shield_add = 11520
@touhou_shield_lunar_capital_psi_ship_shield_regen_add_static = 384
@touhou_shield_lunar_capital_psi_ship_hull_add = 3900
@touhou_shield_lunar_capital_psi_ship_hull_regen_add_static = 130

###################
##### ancient #####
###################
@touhou_ag_player_shield_s_ship_shield_add = 1800
@touhou_ag_player_shield_s_ship_shield_regen_add_static = 60.0
@touhou_ag_player_shield_s_ship_shield_hardening_add = 0.32
@touhou_ag_player_shield_m_ship_shield_add = 3600
@touhou_ag_player_shield_m_ship_shield_regen_add_static = 120.0
@touhou_ag_player_shield_m_ship_shield_hardening_add = 0.32
@touhou_ag_player_shield_l_ship_shield_add = 7200
@touhou_ag_player_shield_l_ship_shield_regen_add_static = 240.0
@touhou_ag_player_shield_l_ship_shield_hardening_add = 0.32

@touhou_ag_player_armor_s_ship_hull_add = 900
@touhou_ag_player_armor_s_ship_hull_regen_add_static = 30
@touhou_ag_player_armor_s_ship_armor_add = 1800
@touhou_ag_player_armor_s_ship_armor_regen_add_static = 60
@touhou_ag_player_armor_s_ship_armor_hardening_add = 0.32
@touhou_ag_player_armor_m_ship_hull_add = 1800
@touhou_ag_player_armor_m_ship_hull_regen_add_static = 60
@touhou_ag_player_armor_m_ship_armor_add = 3600
@touhou_ag_player_armor_m_ship_armor_regen_add_static = 120
@touhou_ag_player_armor_m_ship_armor_hardening_add = 0.32
@touhou_ag_player_armor_l_ship_hull_add = 3600
@touhou_ag_player_armor_l_ship_hull_regen_add_static = 120
@touhou_ag_player_armor_l_ship_armor_add = 7200
@touhou_ag_player_armor_l_ship_armor_regen_add_static = 240
@touhou_ag_player_armor_l_ship_armor_hardening_add = 0.32

@touhou_fe_union_shield_ship_shield_add = 9600
@touhou_fe_union_shield_ship_shield_regen_add_static = 210
@touhou_fe_union_shield_ship_shield_hardening_add = 0.40
@touhou_fe_union_shield_ship_spth_shield_efficiency = 0.10

@touhou_fe_union_shield_ship_hull_add = 4000
@touhou_fe_union_shield_ship_hull_regen_add_static = 133.33
@touhou_fe_union_shield_ship_armor_add = 9600
@touhou_fe_union_shield_ship_armor_regen_add_static = 320
@touhou_fe_union_shield_ship_armor_hardening_add = 0.40
@touhou_fe_union_shield_ship_spth_armor_efficiency = 0.10

@touhou_fe_union_common_shield_ship_shield_add = 4000
@touhou_fe_union_common_shield_ship_shield_regen_add_static = 100
@touhou_fe_union_common_shield_ship_shield_hardening_add = 0.20
@touhou_fe_union_common_shield_ship_spth_shield_efficiency = 0.05

@touhou_fe_union_common_shield_ship_hull_add = 1200
@touhou_fe_union_common_shield_ship_hull_regen_add_static = 30
@touhou_fe_union_common_shield_ship_armor_add = 4000
@touhou_fe_union_common_shield_ship_armor_regen_add_static = 100
@touhou_fe_union_common_shield_ship_armor_hardening_add = 0.20
@touhou_fe_union_common_shield_ship_spth_armor_efficiency = 0.05

#####################
##### non-genso #####
#####################
@touhou_non_genso_t1_hardening = 0.07
@touhou_non_genso_t2_hardening = 0.08

@touhou_non_genso_shield_lv1_s_ship_shield_add = 1125
@touhou_non_genso_shield_lv1_m_ship_shield_add = 2250
@touhou_non_genso_shield_lv1_l_ship_shield_add = 4500
@touhou_non_genso_shield_lv1_s_ship_armor_add = 1125
@touhou_non_genso_shield_lv1_m_ship_armor_add = 2250
@touhou_non_genso_shield_lv1_l_ship_armor_add = 4500
@touhou_non_genso_shield_lv1_s_ship_shield_regen_add = 28.15
@touhou_non_genso_shield_lv1_m_ship_shield_regen_add = 56.25
@touhou_non_genso_shield_lv1_l_ship_shield_regen_add = 112.5
@touhou_non_genso_shield_lv1_s_ship_armor_regen_add = 28.15
@touhou_non_genso_shield_lv1_m_ship_armor_regen_add = 56.25
@touhou_non_genso_shield_lv1_l_ship_armor_regen_add = 112.5
