tech	file	line	levels	in_give_effects	prerequisites	missing_prerequisites	ai_only_prereq	flag_deps	potential_has_country_flag	is_ai_only	potential_always_no	potential_ag_mod	excluded_reason	unreachable_prereq	has_debug_flag
tech_spth_adv_spiritual_shield	spth_ag_tech.txt	1		yes					touhou_debug_all_tech_flag tech_spth_adv_spiritual_shield	no	no	no			yes
tech_spth_adv_spiritual_armor	spth_ag_tech.txt	20		yes					touhou_debug_all_tech_flag tech_spth_adv_spiritual_armor	no	no	no			yes
tech_touhou_fe_union_titan	spth_ag_tech.txt	104		yes						no	no	no			no
tech_touhou_fe_union_escort	spth_ag_tech.txt	119		yes						no	no	no			no
tech_touhou_fe_union_battle_cruiser	spth_ag_tech.txt	132		yes						no	no	no			no
tech_spth_old_shrine_construct	spth_building_tech.txt	23		yes	tech_galactic_administration	tech_galactic_administration				no	no	no			no
tech_touhou_shroud_void_research	spth_building_tech.txt	186		yes					tech_touhou_shroud_void_research	no	no	no			no
tech_hakurei_1_give_money	spth_subject_tech.txt	1		yes					th_reimu_get	no	no	no			no
tech_th_non_genso_spellcard	spth_subject_tech.txt	36		yes	tech_juggernaut tech_jump_drive_1	tech_juggernaut tech_jump_drive_1				no	no	no			no
tech_th_weapon_spark_non_genso	spth_subject_tech.txt	60		yes	tech_plasma_3	tech_plasma_3				no	no	no			no
tech_th_weapon_spark_2_non_genso	spth_subject_tech.txt	78		yes	tech_plasma_3	tech_plasma_3				no	no	no			no
tech_th_weapon_muso_2_non_genso	spth_subject_tech.txt	96		yes	tech_energy_torpedoes_2	tech_energy_torpedoes_2				no	no	no			no
tech_th_weapon_needle_non_genso	spth_subject_tech.txt	114		yes	tech_th_weapon_muso_2_non_genso					no	no	no			no
tech_th_weapon_sanae_non_genso	spth_subject_tech.txt	132		yes	tech_mass_drivers_5	tech_mass_drivers_5				no	no	no			no
tech_th_weapon_muso_non_genso	spth_subject_tech.txt	148		yes	tech_lasers_5	tech_lasers_5				no	no	no			no
tech_th_weapon_gungnir_non_genso	spth_subject_tech.txt	166		yes	tech_energy_lance_2	tech_energy_lance_2				no	no	no			no
tech_th_shield_barrier_non_genso	spth_subject_tech.txt	182		yes	tech_shields_5	tech_shields_5				no	no	no			no
tech_th_kappa_torpedo_non_genso	spth_subject_tech.txt	197		yes	tech_swarmer_missiles_1	tech_swarmer_missiles_1				no	no	no			no
tech_spth_weapon_laevatain_non_genso	spth_subject_tech.txt	212		yes	tech_th_kappa_torpedo_non_genso					no	no	no			no
tech_th_goliath_doll	th_strick_tech.txt	2		yes	tech_strike_craft_3	tech_strike_craft_3				no	no	no			no
tech_th_mofashu_attack	th_strick_tech.txt	36		yes	tech_strike_craft_3	tech_strike_craft_3				no	no	no			no
tech_gensokyo_building_1	th_tech_1.txt	4		no						yes	no	no	ai_only		no
tech_gensokyo_building_2	th_tech_1.txt	29		no	tech_gensokyo_building_1		tech_gensokyo_building_1			yes	no	no	ai_only	tech_gensokyo_building_1	no
tech_gensokyo_building_3	th_tech_1.txt	63		no	tech_gensokyo_building_2		tech_gensokyo_building_2			yes	no	no	ai_only	tech_gensokyo_building_2	no
tech_gensokyo_building_4	th_tech_1.txt	97		no	tech_gensokyo_building_3		tech_gensokyo_building_3			yes	no	no	ai_only	tech_gensokyo_building_3	no
tech_hm_building_1	th_tech_1.txt	131		no						yes	no	no	ai_only		no
tech_hm_building_2	th_tech_1.txt	154		no	tech_hm_building_1		tech_hm_building_1			yes	no	no	ai_only	tech_hm_building_1	no
tech_hm_building_3	th_tech_1.txt	180		no	tech_hm_building_2		tech_hm_building_2			yes	no	no	ai_only	tech_hm_building_2	no
tech_hm_building_4	th_tech_1.txt	206		no	tech_hm_building_3		tech_hm_building_3			yes	no	no	ai_only	tech_hm_building_3	no
tech_touhou_time_shield	th_tech_1.txt	233		yes					touhou_debug_all_tech_flag tech_touhou_time_shield	no	no	no			yes
tech_th_armor_scarlet1	th_tech_1.txt	318		yes	tech_ship_armor_5	tech_ship_armor_5				no	no	no			no
tech_th_armor_scarlet2	th_tech_1.txt	349		yes	tech_shields_5 tech_th_armor_scarlet1	tech_shields_5				no	no	no			no
tech_th_ship_part_taiyang	th_tech_1.txt	407		yes						no	no	no			no
tech_th_weapon_gungnir	th_tech_1.txt	430		yes	tech_energy_lance_1	tech_energy_lance_1				no	no	no			no
tech_spth_moon_computer	th_tech_1.txt	457		yes						no	no	no			no
tech_th_weapon_mofashu	th_tech_1.txt	787		yes						no	no	no			no
tech_touhou_makai_wedge_titan_petascale	th_tech_1.txt	832		yes					tech_touhou_makai_wedge_titan_petascale touhou_debug_all_tech_flag	no	no	no			yes
tech_touhou_common_bow	th_tech_1.txt	856		yes					tech_touhou_common_bow touhou_debug_all_tech_flag	no	no	no			yes
